source,similarity,target,rank
94,0.020101767528785786,0,85
3,0.03823554452267486,0,86
18,0.049665339192318414,0,87
112,0.09463633330356125,0,88
68,0.0037497903607703886,1,1
24,0.00380865154593768,1,2
4,0.0038261798331977737,1,3
30,0.0038852518140949366,1,4
51,0.003908442877287199,1,5
5,0.003917629422836022,1,6
28,0.00394020376366111,1,7
45,0.003956463252311804,1,8
34,0.003983202369509886,1,9
16,0.00400000770959219,1,10
113,0.0040158212436071095,1,11
75,0.004022033190170804,1,12
110,0.004030147135204887,1,13
74,0.004044721163950715,1,14
12,0.004057656109682006,1,15
13,0.004062992391512088,1,16
117,0.0040691047044856266,1,17
80,0.004085634812922234,1,18
8,0.00408889839883908,1,19
69,0.004107435388639669,1,20
41,0.004119263747007884,1,21
31,0.0041563175424634835,1,22
23,0.004168547275064438,1,23
72,0.00417614138719169,1,24
81,0.004185484808554851,1,25
120,0.0042623991142389794,1,26
82,0.004284593857071806,1,27
56,0.0042892122084988715,1,28
19,0.0043009714222427275,1,29
107,0.004335447562314965,1,30
27,0.00442642196373999,1,31
86,0.004443262639058365,1,32
93,0.004470963557748897,1,33
37,0.004523626845643891,1,34
47,0.004536922560184564,1,35
0,0.004589892076434454,1,36
90,0.00461562700937479,1,37
85,0.004620214627013786,1,38
63,0.004652169653542204,1,39
77,0.004686028290371236,1,40
65,0.004688572288524373,1,41
83,0.004718377800225992,1,42
14,0.004844147115319997,1,43
79,0.00491905351577504,1,44
119,0.004932361672907115,1,45
87,0.004961987919591793,1,46
29,0.00537608248224708,1,47
64,0.005529298935750493,1,48
111,0.005674972110391141,1,49
76,0.005790203022736362,1,50
35,0.006038360223290518,1,51
48,0.006222140737976667,1,52
97,0.0062356122828469696,1,53
17,0.006508838947660189,1,54
96,0.00669881370766745,1,55
102,0.0067353775698255625,1,56
116,0.006770123069487988,1,57
78,0.006973397050569541,1,58
26,0.007096388011383903,1,59
84,0.007568553458296545,1,60
73,0.007577154601505431,1,61
22,0.0076281835950979815,1,62
10,0.007945055341178398,1,63
88,0.007960548549592494,1,64
44,0.008199899127616095,1,65
55,0.008552004354958509,1,66
2,0.0086120345993419,1,67
42,0.00873613913705873,1,68
7,0.008819671030332654,1,69
95,0.008832557286101994,1,70
89,0.00893212521446185,1,71
62,0.009462315080305483,1,72
11,0.009482702756893224,1,73
25,0.009760379044581824,1,74
114,0.010458314667338153,1,75
101,0.01059679524148649,1,76
40,0.01102300345679219,1,77
9,0.011093152249774696,1,78
33,0.011128806321304197,1,79
106,0.012596233240579902,1,80
6,0.014297656843732742,1,81
98,0.014375724128355971,1,82
38,0.01484655071822838,1,83
46,0.016507348765854135,1,84
94,0.023886420876988224,1,85
3,0.04291307490627028,1,86
18,0.04894833767919593,1,87
112,0.09281290308334533,1,88
